State,Year,Quarter,District,Transaction_Count,Transaction_Amount
andhra-pradesh,2024,1,east godavari district,179489444,3.06324E+11
andhra-pradesh,2024,1,srikakulam district,66267698,1.18669E+11
andhra-pradesh,2024,1,spsr nellore district,108549115,1.90804E+11
andhra-pradesh,2024,1,vizianagaram district,61170983,1.05673E+11
andhra-pradesh,2024,1,visakhapatnam district,238418938,3.63342E+11
andhra-pradesh,2024,1,prakasam district,99550457,1.87481E+11
andhra-pradesh,2024,1,anantapur district,125240418,2.12682E+11
andhra-pradesh,2024,1,ysr district,94211451,1.90227E+11
andhra-pradesh,2024,1,west godavari district,127602250,2.28733E+11
andhra-pradesh,2024,1,kurnool district,115036343,2.04806E+11
andhra-pradesh,2024,1,chittoor district,179903083,2.89621E+11
andhra-pradesh,2024,1,guntur district,173636233,2.97371E+11
andhra-pradesh,2024,1,krishna district,186352072,3.16993E+11
andhra-pradesh,2024,2,east godavari district,197431466,3.19787E+11
andhra-pradesh,2024,2,srikakulam district,70555405,1.19668E+11
andhra-pradesh,2024,2,spsr nellore district,121146667,2.0846E+11
andhra-pradesh,2024,2,vizianagaram district,64618416,1.06767E+11
andhra-pradesh,2024,2,visakhapatnam district,260339876,3.78402E+11
andhra-pradesh,2024,2,prakasam district,112437837,2.02731E+11
andhra-pradesh,2024,2,anantapur district,136536485,2.25724E+11
andhra-pradesh,2024,2,ysr district,103280919,2.00094E+11
andhra-pradesh,2024,2,west godavari district,143617131,2.49493E+11
andhra-pradesh,2024,2,kurnool district,127978397,2.13991E+11
andhra-pradesh,2024,2,chittoor district,194201427,3.0762E+11
andhra-pradesh,2024,2,guntur district,191134818,3.14057E+11
andhra-pradesh,2024,2,krishna district,206843456,3.35127E+11
andhra-pradesh,2024,3,east godavari district,85529302,1.34055E+11
andhra-pradesh,2024,3,srikakulam district,62184993,97813235035
andhra-pradesh,2024,3,visakhapatnam district,213106280,2.90037E+11
andhra-pradesh,2024,3,sri potti sriramulu nellore district,106917876,1.75836E+11
andhra-pradesh,2024,3,kurnool district,76743327,1.16585E+11
andhra-pradesh,2024,3,guntur district,127566851,1.90039E+11
andhra-pradesh,2024,3,krishna district,53171206,79983950321
andhra-pradesh,2024,3,annamayya district,62848984,1.12658E+11
andhra-pradesh,2024,3,ananthapuramu district,91820629,1.42914E+11
andhra-pradesh,2024,3,vizianagaram district,62554001,95045716716
andhra-pradesh,2024,3,tirupati district,149968579,2.11448E+11
andhra-pradesh,2024,3,alluri sitharama raju district,13047314,17711034657
andhra-pradesh,2024,3,nandyal district,58218141,94767854409
andhra-pradesh,2024,3,sri sathyasai district,54635514,85171801342
andhra-pradesh,2024,3,palnadu district,63733956,1.03932E+11
andhra-pradesh,2024,3,prakasam district,85310768,1.43771E+11
andhra-pradesh,2024,3,parvathipuram manyam district,16244017,26358426448
andhra-pradesh,2024,3,dr br ambedkar konaseema district,51948055,82595773585
andhra-pradesh,2024,3,bapatla district,46247509,74276374977
andhra-pradesh,2024,3,ntr district,152140699,2.24873E+11
andhra-pradesh,2024,3,kakinada district,95570509,1.38372E+11
andhra-pradesh,2024,3,anakapalli district,62265420,94198852698
